parkname,rum_mean_per_trip,std_dev_rum,ci_lo_2.5_rum,ci_hi_97.5_rum,rum_total_annual_loss,parkname_numeric,mdcev_mean_per_person,std.dev,ci_lo2.5%,ci_hi97.5%,rum_annual_total,mdcev_annual_total,difference,year
Waikolu,-0.5538412290832886,0.934913367948895,-0.5957150943986256,-0.5119673637679516,-1060.6059536944977,18,-0.5251389198532832,0.19383899798640047,-0.9400547862913275,-0.27921395401822513,-935.4378359216744,-707.8872639622258,-227.55057195944858,2022
Waimano Trail,-1.3447083008175251,0.8997527008729744,-1.3850073538689573,-1.304409247766093,-2575.116396065561,19,-0.15290407675158593,0.03614477301453951,-0.22036341530952996,-0.09184632218346551,-2271.2123200808,-206.11469546113784,-2065.0976246196624,2022
Waimanu Campsite,-10.366861293425622,29.474079910876515,-11.686976819411967,-9.046745767439276,-19852.539376910066,20,-4.583873245399629,0.4993320976216615,-5.6464464522413635,-3.7837073309814397,-17509.628724595874,-6179.0611347987,-11330.567589797174,2022
Wiliwili,-3.474972200282697,4.169822128891169,-3.6617344995502425,-3.288209901015151,-6654.571763541365,21,-3.17829537409872,0.3895184048714453,-3.857756061482873,-2.4096409234321507,-5869.228046277475,-4284.342164285074,-1584.8858819924008,2022
Wiliwilinui Ridge Trail,-1.1860547285300487,0.8754671837007981,-1.2252660567611457,-1.1468434002989516,-2271.294805135043,22,-0.11948928960933317,0.034443768107253074,-0.1790797518266809,-0.06465507456434083,-2003.2464364872521,-161.0715623933811,-1842.174874093871,2022
Ainapo Cabin,-4.933479177982263,14.121248314262585,-5.5847629968736685,-4.282195359090857,-8909.863395435967,1,-2.9758512270660216,0.48202976403127895,-4.192893391646866,-2.2504880666862697,-8332.646331612043,-4011.447454084997,-4321.198877527046,2023
Hipalau,-2.2504136302418076,2.9201765588873068,-2.3850946229404766,-2.1157326375431387,-4064.2470162167047,2,-1.3672677982884183,0.23169448311776691,-1.823137568970003,-1.0411705393103217,-3800.948621478413,-1843.0769920927878,-1957.871629385625,2023
Kaluahaulu,-1.354877908917418,1.752265647617042,-1.4356938706011741,-1.274061947233662,-2446.909503504857,3,-1.05837719137822,0.36483282432792286,-1.9900164188635454,-0.6749649910110381,-2288.388788161519,-1426.6924539778406,-861.6963341836786,2023
Kamananui Trail,-0.47336248098452643,0.3415062132988463,-0.48911303403922857,-0.4576119279298243,-854.8926406580547,4,-0.029750960834618832,0.009982949762090179,-0.04763504037987189,-0.01631438987096614,-799.5092303828651,-40.10429520506619,-759.404935177799,2023
Kaunala Trail,-2.1501533984864043,1.6321520177977802,-2.2254296187968294,-2.074877178175979,-3883.1770376664463,5,-0.5175801184215121,0.12880618028121033,-0.8176469593516398,-0.3275996986415074,-3631.609090043537,-697.6979996321983,-2933.9110904113386,2023
Kawaikoi,-13.381913013807644,17.853989786712358,-14.205354000890477,-12.558472026724811,-24167.734902936605,6,-5.425194717148715,0.6010503898651403,-6.418539027957818,-4.442478400359477,-22602.05108032111,-7313.162478716467,-15288.888601604644,2023
Keanakolu Ranger & Bunkhouse Cabins,-3.9278305888003855,10.174649955520865,-4.397093980495154,-3.4585671971056167,-7093.662043373496,7,-1.3236709392141204,0.25016623955867706,-1.7353610035340723,-0.9440475881121722,-6634.105864483851,-1784.3084260606342,-4849.797438423217,2023
Kuaokala Trail,-20.22953116917361,13.858341625664444,-20.868689511028446,-19.590372827318777,-36534.53329152754,8,-5.994211904511371,0.41608635881938,-6.816159447294963,-5.3033146394910435,-34167.67814473423,-8080.197647281328,-26087.480497452903,2023
Kulanaahane Trail,-0.8696713194789039,0.6277527016352725,-0.8986238007143963,-0.8407188382434114,-1570.6264029789004,9,-0.08002588624461483,0.029728375027772345,-0.14257831424458886,-0.034028655962077825,-1468.8748585998687,-107.8748946577408,-1360.999963942128,2023
Kuliouou Trail,-3.2080986763853203,2.668437683099153,-3.331169260943149,-3.0850280918274917,-5793.8262095518885,10,-0.3052947355961396,0.04628107492127888,-0.40299168250777245,-0.23992317027026067,-5418.478664414806,-411.5373035835962,-5006.94136083121,2023
Lonomea,-8.422257847694297,10.985546001086307,-8.92892044528975,-7.915595250098844,-15210.5976729359,11,-4.69072643513115,0.41049591750977527,-5.398828038016696,-4.117815315998291,-14225.193504755667,-6323.099234556791,-7902.094270198876,2023
Manana Trail,-4.594490769381233,3.220469790440567,-4.743021537841986,-4.44596000092048,-8297.650329502507,12,-0.5660020199351998,0.0857701668888961,-0.7306217258829912,-0.42383967427660174,-7760.094909484902,-762.9707228726494,-6997.124186612253,2023
Peacock Flats Campsite,-75.9772245279808,52.789738072568454,-78.41193153440418,-73.54251752155741,-137214.86749753333,13,-20.594336133994922,1.1113142553882704,-22.40313560719385,-17.93934511970051,-128325.53222775956,-27761.165108625155,-100564.3671191344,2023
Sugi Grove,-8.707026352018438,11.450608309364585,-9.235138013423073,-8.178914690613803,-15724.8895917453,14,-3.3932830237906235,0.3960746416822923,-4.247230272362447,-2.8453421213981924,-14706.167508559143,-4574.145516069761,-10132.021992489383,2023
Waialae Cabin Campsite,-1.2738976796533783,1.619694666229092,-1.348599356458699,-1.1991960028480575,-2300.659209454001,15,-0.6988708085867511,0.1302214157721538,-0.9596721657786539,-0.48064100577973523,-2151.613180934556,-942.0778499749405,-1209.5353309596157,2023
Waikoali,-6.790762051825129,8.872167561020929,-7.199953862803343,-6.381570240846915,-12264.116265596183,16,-2.961385023717227,0.3645379064904423,-3.558053004682314,-2.4131043476390035,-11469.597105532643,-3991.9470119708217,-7477.6500935618205,2023
Waikolu,-1.2076647948800932,2.7387314591194003,-1.3339773873590293,-1.081352202401157,-2181.0426195534483,17,-1.3401368628445416,0.3662545635490504,-2.079571000607018,-0.8304350804475487,-2039.7458385524774,-1806.504491114442,-233.2413474380353,2023
Waimano Trail,-1.5070686267071174,1.0598990477161883,-1.555952059961298,-1.4581851934529368,-2721.765939833054,18,-0.3930460788194095,0.07197966568775377,-0.5270607079085892,-0.26823702286115036,-2545.4389105083214,-529.8261142485641,-2015.6127962597575,2023
Waimanu Campsite,-10.639140773667501,28.4733219240984,-11.95235426772676,-9.325927279608242,-19214.288237243505,19,-4.152518379874952,0.4643359672028321,-5.050092734759546,-3.3871272036817675,-17969.508766724408,-5597.594776071435,-12371.913990652973,2023
Wiliwili,-1.9213764876463413,2.396806185302741,-2.0319191996479344,-1.8108337756447481,-3470.0059366892924,20,-1.208309726639487,0.2989672002494156,-1.8068747043385076,-0.8082496144501903,-3245.2048876346703,-1628.8015115100286,-1616.4033761246417,2023
Wiliwilinui Ridge Trail,-1.0290948817492884,0.8209556579398932,-1.0669580454119212,-0.9912317180866558,-1858.5453564392149,21,-0.08489971855762694,0.0225833659739165,-0.13241127354102672,-0.05347225195493072,-1738.1412552745483,-114.44482061568112,-1623.696434658867,2023
