parkname,rum_mean_per_trip,std_dev_rum,ci_lo_2.5_rum,ci_hi_97.5_rum,rum_total_annual_loss,parkname_numeric,mdcev_mean_per_person,std.dev,ci_lo2.5%,ci_hi97.5%,rum_annual_total,mdcev_annual_total,difference,year
Lonomea,-5.023796188927331,8.212542981111985,-5.407156872442172,-4.640435505412489,-8856.952681078883,11,-1.7985866630466707,0.2927527368407453,-2.355296212739101,-1.3148377033341925,-8485.19176309826,-2424.4948217869123,-6060.696941311348,2018
Manana Trail,-1.693010906351475,1.377673241233491,-1.7573205552183437,-1.6287012574846065,-2984.7782278976506,12,-0.08708917792910247,0.024257978238760074,-0.13213503812833904,-0.05168657675552098,-2859.4954208276413,-117.39621184843013,-2742.099208979211,2018
Peacock Flats Campsite,-71.98809756163891,58.30657929277576,-74.70984284108513,-69.26635228219268,-126915.0160011694,13,-14.651667185549787,0.9169869661427219,-16.608556174665747,-13.4816952869218,-121587.89678160811,-19750.447366121112,-101837.449415487,2018
Sugi Grove,-7.1701014405711305,11.958552608652335,-7.728325478173721,-6.61187740296854,-12640.888839726904,14,-2.05557816795304,0.3399694153996851,-2.6340492446042556,-1.4791207410648513,-12110.30133312464,-2770.919370400698,-9339.381962723943,2018
Waialae Cabin Campsite,-0.7520751644961616,1.1965501561328613,-0.8079300058978895,-0.6962203230944337,-1325.9085150067328,15,-1.2344447020895746,0.5020504966023852,-2.420376369493353,-0.6557073578749513,-1270.254952834017,-1664.0314584167465,393.77650558272944,2018
Waikoali,-3.6900989065352143,6.031249750261993,-3.9716370405853922,-3.4085607724850364,-6505.644372221583,16,-0.7650010977607516,0.14109689835316938,-1.0353216218212318,-0.5810549731530944,-6232.577053137977,-1031.2214797814931,-5201.355573356484,2018
Waikolu,-0.6551958611549391,0.6032003164602238,-0.6833531914905484,-0.6270385308193298,-1155.1103032161577,17,-0.40175381212120675,0.12408756921939171,-0.6438315646107042,-0.22678852492981447,-1106.625809490692,-541.5641387393867,-565.0616707513053,2018
Waimano Trail,-1.0311804388516792,0.8407683302423781,-1.0704274202678676,-0.9919334574354909,-1817.9711136955104,18,-0.0313160050795058,0.012618465867393692,-0.057624187947865745,-0.013205083829773439,-1741.663761220486,-42.213974847173816,-1699.4497863733122,2018
Waimanu Campsite,-63.92128057432425,82.14557167220737,-67.75582762953015,-60.086733519118354,-112693.21765253365,19,-26.076807257403075,1.5294896358217402,-28.601643550357146,-23.459811225244643,-107963.04289003366,-35151.53618297935,-72811.5067070543,2018
Wiliwili,-2.88359919590231,4.5565294014743705,-3.0962975318284824,-2.670900859976138,-5083.785382375773,20,-1.7510962100839698,0.43253082076743915,-2.51719085235369,-1.0694825621374178,-4870.399041879002,-2360.4776911931913,-2509.9213506858105,2018
Wiliwilinui Ridge Trail,-1.0315169338843533,0.9046171963992644,-1.0737443739755033,-0.9892894937932032,-1818.5643544381148,21,-0.009769092346089093,0.004952757421137144,-0.01931489722526059,-0.003063328099362874,-1742.2321013306728,-13.168736482528098,-1729.0633648481446,2018
Ainapo Cabin,-4.661587720883755,5.754293701376454,-4.936018786035835,-4.387156655731675,-7873.421660572662,1,-1.6566970281554747,0.33551950850485013,-2.3524061090188435,-1.1616094308966378,-7873.421660572662,-2233.22759395358,-5640.194066619082,2019
Hipalau,-1.528644092761753,2.73481499186419,-1.6590716013596614,-1.3982165841638448,-2581.879872674601,2,-1.2716041014818529,0.280888703500656,-1.8583732735484402,-0.8068195343063789,-2581.879872674601,-1714.1223287975376,-867.7575438770632,2019
Kaluahaulu,-1.334122895907254,2.3840673077031487,-1.4478227111410027,-1.2204230806735052,-2253.333571187352,3,-1.0887380032328802,0.27198786520809287,-1.6130906998966015,-0.6854445916547889,-2253.333571187352,-1467.6188283579224,-785.7147428294295,2019
