year,parkname,rum_mean_per_trip,mdcev_mean_per_person,rum_annual_total,mdcev_annual_total,difference,std_dev_rum,ci_lo_2.5_rum,ci_hi_97.5_rum,rum_total_annual_loss,std.dev,ci_lo2.5%,ci_hi97.5%,parkname_numeric
2019,Peacock Flats Campsite,-78.03518725946255,-14.6516671855498,-131801.43128123225,-19750.44736612113,-112050.98391511111,67.36057212339973,-81.2477159408985,-74.82265857802659,-131801.43128123225,0.916986966142722,-16.6085561746657,-13.4816952869218,13
2019,Sugi Grove,-6.421282037927956,-2.05557816795304,-10845.545362060317,-2770.919370400698,-8074.625991659619,11.699597133656845,-6.979253714360052,-5.863310361495859,-10845.545362060317,0.339969415399685,-2.63404924460426,-1.47912074106485,14
2019,Waialae Cabin Campsite,-0.9478297411058931,-1.23444470208957,-1600.8844327278534,-1664.0314584167402,63.14702568888674,1.6648542013363452,-1.0272291835928762,-0.86843029861891,-1600.8844327278534,0.502050496602385,-2.4203763694933502,-0.655707357874951,15
2019,Waikoali,-2.8171950284927854,-0.765001097760752,-4758.2424031243145,-1031.2214797814936,-3727.020923342821,5.032983444102632,-3.057225704564721,-2.5771643524208496,-4758.2424031243145,0.141096898353169,-1.03532162182123,-0.581054973153094,16
2019,Waikolu,-0.5638260923849415,-0.401753812121207,-952.3022700381663,-541.564138739387,-410.7381312987793,0.5666255594433552,-0.5908493317067782,-0.5368028530631048,-952.3022700381663,0.124087569219392,-0.643831564610704,-0.226788524929814,17
2019,Waimano Trail,-0.375322853855217,-0.0313160050795058,-633.9203001614616,-42.213974847173816,-591.7063253142877,0.3259790835338761,-0.39086929478333676,-0.3597764129270973,-633.9203001614616,0.0126184658673937,-0.0576241879478657,-0.0132050838297734,18
2019,Waimanu Campsite,-61.48944442467618,-26.0768072574031,-103855.67163327806,-35151.53618297938,-68704.1354502987,73.48566559050458,-64.9940881790587,-57.984800670293644,-103855.67163327806,1.52948963582174,-28.6016435503571,-23.4598112252446,19
2019,Wiliwili,-2.3133939951490126,-1.75109621008397,-3907.322457806682,-2360.4776911931917,-1546.8447666134903,4.016054583350557,-2.5049257789288624,-2.1218622113691628,-3907.322457806682,0.432530820767439,-2.51719085235369,-1.06948256213742,20
2019,Wiliwilinui Ridge Trail,-0.28137442165417503,-0.00976909234608909,-475.24139817390164,-13.168736482528093,-462.0726616913735,0.2623987952121653,-0.29388862141555877,-0.2688602218927913,-475.24139817390164,0.00495275742113714,-0.0193148972252606,-0.00306332809936287,21
2020,Ainapo Cabin,-1.7569324186773487,-0.668544692674866,-1897.4870121715367,-576.9540697784093,-1320.5329423931273,5.0916000449054835,-2.0606000313908233,-1.4532648059638744,-1897.4870121715367,0.22409845425536,-1.07216803226764,-0.303353746871655,1
2020,Hipalau,-3.696171720157455,-1.7377449486795,-3991.8654577700513,-1499.6738907104086,-2492.1915670596427,3.6169092410707395,-3.911887445067196,-3.480455995247714,-3991.8654577700513,0.351318454196643,-2.35235727337715,-1.19797228905472,2
2020,Kaluahaulu,-3.696166018378806,-2.85657721952256,-3991.8592998491104,-2465.226140447969,-1526.6331594011413,3.6166703860188316,-3.911867497758113,-3.480464538999499,-3991.8592998491104,0.669538653735645,-4.26713095511233,-1.98667317688715,3
2020,Kamananui Trail,-0.5569959505304704,-0.0294455948393099,-601.555626572908,-25.411548346324444,-576.1440782265835,0.48538253300880774,-0.5859446019861327,-0.528047299074808,-601.555626572908,0.0134948138446013,-0.0544684892531711,-0.00951144339919681,4
2020,Kaunala Trail,-1.1179695430906955,-0.222642044548996,-1207.4071065379512,-192.14008444578354,-1015.2670220921677,1.0217314034726797,-1.1789065242735324,-1.0570325619078587,-1207.4071065379512,0.0956334008076086,-0.436265725841733,-0.110851787950147,5
2020,Kawaikoi,-13.971705703479593,-4.9147390881629,-15089.44215975796,-4241.419833084583,-10848.022326673377,13.855988641258469,-14.798089346217989,-13.145322060741197,-15089.44215975796,0.448358975271276,-5.776881303641,-4.09068783841459,6
2020,Keanakolu Ranger & Bunkhouse Cabins,-3.0177852947160333,-0.804560719134931,-3259.208118293316,-694.3359006134455,-2564.8722176798706,8.283085554376516,-3.5117959778048844,-2.523774611627182,-3259.208118293316,0.185809346923838,-1.10994171901525,-0.525115653146075,7
2020,Kuaokala Trail,-16.93473384467137,-3.3696617365358,-18289.51255224508,-2908.0180786303954,-15381.494473614684,14.216545714832066,-17.782621436033658,-16.086846253309083,-18289.51255224508,0.344710177443657,-4.17282373265243,-2.87704448835842,8
2020,Kulanaahane Trail,-0.8368657144604017,-0.0803131238561603,-903.8149716172338,-69.31022588786634,-834.5047457293675,0.7295299278904418,-0.8803755364518571,-0.7933558924689463,-903.8149716172338,0.0329005395556996,-0.14552681720859,-0.0342701446116936,9
2020,Kuliouou Trail,-2.538751823908889,-0.189301289948964,-2741.8519698216,-163.36701322595593,-2578.4849565956442,2.4162731545299683,-2.6828605311970697,-2.3946431166207085,-2741.8519698216,0.045113368905053,-0.289659430772957,-0.119764017518877,10
2020,Lonomea,-12.31401077092759,-6.65306471925612,-13299.131632601797,-5741.594852718032,-7557.536779883765,12.087085451636318,-13.034895434174995,-11.593126107680185,-13299.131632601797,0.797596459458779,-7.96788047571009,-5.53464797119434,11
2020,Maakua Ridge Trail,-0.9774442123867655,-0.136177695288117,-1055.6397493777067,-117.52135103364496,-938.1183983440618,0.9031398306472541,-1.0313082853501387,-0.9235801394233923,-1055.6397493777067,0.05669974290407,-0.252670274212405,-0.0536020313153065,12
2020,Manana Trail,-2.249661493521123,-0.169959108938169,-2429.6344130028133,-146.67471101363986,-2282.9597019891735,1.9227366627141338,-2.3643352399060698,-2.1349877471361767,-2429.6344130028133,0.0442990585016173,-0.247028008108327,-0.0994911034010167,13
2020,Peacock Flats Campsite,-65.96495332669335,-13.731523310333,-71242.14959282882,-11850.304616817379,-59391.844976011445,55.97064457770096,-69.30309298240944,-62.626813670977256,-71242.14959282882,1.07946764200128,-15.7981799237423,-12.1386826702337,14
2020,Sugi Grove,-16.870156062198134,-6.47698918300377,-18219.768547173986,-5589.641664932254,-12630.126882241733,16.868420641334993,-17.87620386273703,-15.864108261659242,-18219.768547173986,0.614380736618164,-7.52253306527088,-5.57294103729243,15
2020,Waialae Cabin Campsite,-1.6835085182582872,-0.758670585442319,-1818.1891997189502,-654.7327152367213,-1163.456484482229,1.6127445959457922,-1.7796940585694188,-1.5873229779471556,-1818.1891997189502,0.233262439715378,-1.21602194146666,-0.480216465318881,16
2020,Waikoali,-11.349279455663797,-3.36303782614118,-12257.2218121169,-2902.3016439598387,-9354.920168157063,11.209376814022377,-12.017816785206369,-10.680742126121226,-12257.2218121169,0.434430768112398,-4.22239248445106,-2.63257568003328,17
2020,Waikolu,-1.9689588304129964,-1.7520426359203,-2126.475536846036,-1512.012794799219,-614.4627420468171,2.0215028718643837,-2.0895230824709925,-1.848394578355,-2126.475536846036,0.454474563879306,-2.74081283276634,-1.17332401578353,18
