parkname,mean_cv_rum,std_dev_rum,ci_lo_2.5_rum,ci_hi_97.5_rum,rum_total_annual_loss,parkname_numeric,mean,std.dev,ci_lo2.5%,ci_hi97.5%,year
Manana Trail,-1.693010906351475,1.377673241233491,-1.7573205552183437,-1.6287012574846065,-2984.7782278976506,12,-0.1400228332046842,0.03696558804070388,-0.21584921039298097,-0.09025263447319709,2018
Peacock Flats Campsite,-71.98809756163891,58.30657929277576,-74.70984284108513,-69.26635228219268,-126915.0160011694,13,-14.966575639636453,0.6849949353253448,-16.284937768653563,-14.010607670908339,2018
Sugi Grove,-7.1701014405711305,11.958552608652335,-7.728325478173721,-6.61187740296854,-12640.888839726904,14,-2.2157441208882425,0.3036659510867991,-2.6959845820647135,-1.6894417084772466,2018
Waialae Cabin Campsite,-0.7520751644961616,1.1965501561328613,-0.8079300058978895,-0.6962203230944337,-1325.9085150067328,15,-0.5703005210340049,0.2480569688037801,-1.1635612266951976,-0.2904502562436203,2018
Waikoali,-3.6900989065352143,6.031249750261993,-3.9716370405853922,-3.4085607724850364,-6505.644372221583,16,-1.1388607418298584,0.184128020845695,-1.5544098013467487,-0.8552987311504782,2018
Waikolu,-0.6551958611549391,0.6032003164602238,-0.6833531914905484,-0.6270385308193298,-1155.1103032161577,17,-0.5896826052244938,0.2940354468376835,-1.2280133609921893,-0.24230353183534398,2018
Waimano Trail,-1.0311804388516792,0.8407683302423781,-1.0704274202678676,-0.9919334574354909,-1817.9711136955104,18,-0.25546284465892977,0.07212489571802957,-0.38573551804885836,-0.15168910960408244,2018
Waimanu Campsite,-63.92128057432425,82.14557167220737,-67.75582762953015,-60.086733519118354,-112693.21765253365,19,-31.773938008733335,2.2403983801486222,-36.16416295186072,-27.78577732883789,2018
Wiliwili,-2.88359919590231,4.5565294014743705,-3.0962975318284824,-2.670900859976138,-5083.785382375773,20,-1.8434873450194305,0.4600528850771828,-2.9396114945196925,-1.240751385336777,2018
Wiliwilinui Ridge Trail,-1.0315169338843533,0.9046171963992644,-1.0737443739755033,-0.9892894937932032,-1818.5643544381148,21,-0.06441815955724688,0.020001528193744334,-0.09907540249996111,-0.032708400478899086,2018
Ainapo Cabin,-2.9599753212638196,3.8091883890076907,-3.1377878536067625,-2.7821627889208767,-5218.436491388114,1,-1.6566970281554747,0.33551950850485013,-2.3524061090188435,-1.1616094308966378,2019
Hipalau,-2.5912821512197284,4.250944138786441,-2.7897157977012865,-2.3928485047381702,-4568.430432600381,2,-1.2716041014818529,0.280888703500656,-1.8583732735484402,-0.8068195343063789,2019
Kaluahaulu,-1.4209449391231217,2.3147964949911284,-1.5289994075817335,-1.31289047066451,-2505.1259276740634,3,-1.0887380032328802,0.27198786520809287,-1.6130906998966015,-0.6854445916547889,2019
Kamananui Trail,-1.4089560123184404,1.165399778954215,-1.4633567572345345,-1.3545552674023462,-2483.9894497174105,4,-0.0322539878319535,0.02052029212032306,-0.08135409986092282,-0.008529811846924765,2019
Kaunala Trail,-0.8430288327609622,0.7197051397734652,-0.876624596575807,-0.8094330689461173,-1486.2598321575763,5,-0.134750357723875,0.054094504503141294,-0.2324366631972276,-0.06869716958197689,2019
Kawaikoi,-6.95012491411602,11.568110750979681,-7.490123164922189,-6.410126663309851,-12253.070223586543,6,-2.3193471973645465,0.3080647799596876,-2.796613528604733,-1.691678015315285,2019
Keanakolu Ranger & Bunkhouse Cabins,-15.37250415447408,18.131083384504265,-16.218861310245945,-14.526146998702215,-27101.724824337805,7,-5.614804527059129,0.3955486217989368,-6.471472425329777,-4.959493391772314,2019
Kuaokala Trail,-18.821577060644195,15.100476985852078,-19.526465813374053,-18.116688307914337,-33182.440357915715,8,-2.8299601910662533,0.36238934286278507,-3.557220021489642,-2.2380353921730154,2019
Kulanaahane Trail,-0.46739699740042234,0.3864255006751957,-0.48543530105461513,-0.44935869374622955,-824.0209064169446,9,-0.05042196353073552,0.019242532097238342,-0.08905810238691092,-0.020507473378954165,2019
Kuliouou Trail,-2.361661293717641,2.1150321113383113,-2.4603907807624332,-2.262931806672849,-4163.608860824202,10,-0.2836346255803605,0.05950415899157253,-0.38549211814308876,-0.20475877392501057,2019
Lonomea,-5.023796188927331,8.212542981111985,-5.407156872442172,-4.640435505412489,-8856.952681078883,11,-1.7985866630466707,0.2927527368407453,-2.355296212739101,-1.3148377033341925,2019
Manana Trail,-1.693010906351475,1.377673241233491,-1.7573205552183437,-1.6287012574846065,-2984.7782278976506,12,-0.08708917792910247,0.024257978238760074,-0.13213503812833904,-0.05168657675552098,2019
Peacock Flats Campsite,-71.98809756163891,58.30657929277576,-74.70984284108513,-69.26635228219268,-126915.0160011694,13,-14.651667185549787,0.9169869661427219,-16.608556174665747,-13.4816952869218,2019
