id,parkname,year,zip,income,loss_rum_observed,loss_mdcev,loss_rum_52wk
1084,Ainapo Cabin,2018,96816,90788,-0.9619699503615423,1.45519152283669e-12,-1.06192360645474
1085,Ainapo Cabin,2018,96734,102242,-1.0465620394261193,4.8506384094556194e-12,-1.095031256771619
1086,Ainapo Cabin,2018,96818,79653,-1.447649190185754,9.70127681891123e-13,-1.8122786713012708
1088,Ainapo Cabin,2018,96720,63335,-10.444624021581047,-3.1529149661461497e-12,-20.649348825148767
1090,Ainapo Cabin,2018,96712,96297,-0.9594494006680859,0,-0.9890853397080722
1097,Ainapo Cabin,2018,96791,83889,-0.7491939266876351,-1.9402553637822497e-12,-0.8748370209777165
1098,Ainapo Cabin,2018,96734,102242,-1.8209937307975625,-3.3954468866189297e-12,-0.95886346514554
1111,Ainapo Cabin,2018,96740,79506,-5.258203127232729,6.3058299322922994e-12,-11.552042227122948
1114,Ainapo Cabin,2018,96734,102242,-0.9104968653987813,-1.30967237055302e-11,-0.95886346514554
1119,Ainapo Cabin,2018,96743,90441,-4.5407098324966695,3.3954468866189297e-12,-12.095636450657915
112,Ainapo Cabin,2018,96826,51649,-1.7386397177062531,7.518489534656209e-12,-2.2235312195549932
1121,Ainapo Cabin,2018,96720,63335,-10.444624021581047,-22.4440464636393,-20.649348825148767
1129,Ainapo Cabin,2018,96792,66766,-1.0493152156757206,-3.3954468866189297e-12,-1.6961458165644405
1134,Ainapo Cabin,2018,96720,63335,-10.444624021581047,-1.2126596023638998e-12,-20.649348825148767
1138,Ainapo Cabin,2018,96814,63283,-1.7310322288256015,-2.4253192047278097e-12,-2.1563220689488642
1139,Ainapo Cabin,2018,96815,63773,-1.7193234160813466,1.0913936421275098e-11,-2.0973837386157252
1155,Ainapo Cabin,2018,96860,79653,-1.4347120420996573,1.45519152283669e-12,-1.8235843290501623
1158,Ainapo Cabin,2018,96786,63565,-1.5029808799133404,-9.458744898438449e-12,-1.764064818949048
1159,Ainapo Cabin,2018,96701,94541,-1.1624048385856616,4.3655745685100594e-12,-1.3983719938818968
1170,Ainapo Cabin,2018,96738,74869,-17.581903826312086,-9.701276818911229e-12,-11.279413370847568
1171,Ainapo Cabin,2018,96707,105278,-0.6252504096597951,-1.5522042910258e-11,-0.9118146497410503
1174,Ainapo Cabin,2018,96815,63773,-1.7193234160813466,-5.0931703299283994e-12,-2.0973837386157252
1178,Ainapo Cabin,2018,96706,105161,-0.7926370144449165,-6.7908937732378594e-12,-1.099044382870263
1179,Ainapo Cabin,2018,96740,79506,-5.323250268475269,-9.70127681891123e-13,-12.030773195642123
1180,Ainapo Cabin,2018,96707,105278,-0.6252504096597951,-1.5522042910258e-11,-0.9118146497410503
1196,Ainapo Cabin,2018,96734,102242,-1.0465620394261193,4.8506384094556194e-12,-1.095031256771619
1197,Ainapo Cabin,2018,96822,77275,-1.481083721267832,-5.8207660913467394e-12,-1.7240870835887963
1198,Ainapo Cabin,2018,96734,102242,-1.953283537539653,-2.9103830456733697e-12,-1.0246953524703464
1199,Ainapo Cabin,2018,96740,79506,-5.323250268475269,-9.70127681891123e-13,-12.030773195642123
120,Ainapo Cabin,2018,96740,79506,-5.323250268475269,-9.70127681891123e-13,-12.030773195642123
1201,Ainapo Cabin,2018,96725,74276,-7.82338779345093,-39.3003973199315,-14.541039143973178
1202,Ainapo Cabin,2018,96817,65231,-1.696632050432396,-1.69772344330947e-12,-2.068668723202408
1204,Ainapo Cabin,2018,96778,39418,-11.75713152174326,-6.5483618527650794e-12,-20.627263155301723
1208,Ainapo Cabin,2018,96746,89212,-0.5630481449507195,-2.4253192047278097e-12,-1.1968532593184167
1212,Ainapo Cabin,2018,96741,88424,-0.39317863327452107,-4.8506384094556194e-12,-1.184584287740136
1216,Ainapo Cabin,2018,96740,79506,-10.704707953390741,2.4253192047278097e-12,-12.277130445924238
1218,Ainapo Cabin,2018,96814,63283,-2.6928750594080526,-1.45519152283669e-12,-1.654647100067514
1221,Ainapo Cabin,2018,96755,75746,-7.282990570270543,-5.3357022504011794e-12,-9.884099012871241
